NOME_UNIDADE,NOME_DISCIPLINA,COD_TURMA,ITEM_TABELA,HR_INICIO,COD_DISCIPLINA,DIA_SEMANA,HR_FIM,TIPO_AULA,PERIODO_ITEM,ANO,DIA_SEMANA_ITEM,COD_ESTRUTURADO,CH_TOTAL,CREDITOS,PERIODO,COD_CURSO,NOME_SALA,DT_INICIO_PERIODO,DT_FIM_PERIODO,ID_TURMA,ESCOPO_ITEM,VAGAS_OCUPADAS,VAGAS_OFERECIDAS,VAGAS_AUMENTADAS,SITUACAO
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,01,6,18:00:00,ICC002,Sexta-feira,19:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123383,3,52,50,3,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,CB02,3,14:00:00,ICC003,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128370,3,17,13,4,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,CB02,5,14:00:00,ICC003,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128370,3,17,13,4,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,CB02,6,14:00:00,ICC003,Sexta-feira,15:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128370,3,17,13,4,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,01,3,14:00:00,ICC003,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,128385,5,0,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,01,5,14:00:00,ICC003,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,128385,5,0,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,01,6,14:00:00,ICC003,Sexta-feira,15:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,128385,5,0,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÉCNICAS DE PROGRAMAÇÃO,CB01,6,07:00:00,ICC005,Sexta-feira,10:30:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,4, 2° Semestre,IE08,ICE - TÉRREO - BL. 6 SALA DE AULA 103,08/09/2015,18/01/2016,122728,3,50,50,1,Matrícula
Coord. Acadêmica do Instituto de Computação,TÉCNICAS DE PROGRAMAÇÃO,CB01,6,11:00:00,ICC005,Sexta-feira,12:50:00,Teórica,202,2015,6,1.70.01.00.00.00.00.00,90,4, 2° Semestre,IE08,ICE - TÉRREO - BL. 6 SALA DE AULA 103,08/09/2015,18/01/2016,122728,3,50,50,1,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO A,01,3,18:00:00,ICC011,Terça-feira,19:50:00,Prática,202,2015,3,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123385,3,23,40,0,Matrícula
